feature,auc,win_rate_high,win_rate_low
is_home,0.5409594095940959,0.5409594095940959,0.45904059040590406
tz_shift,0.5109451124031535,0.49135802469135803,0.5015184381778742
short_week,0.5099630996309963,0.5328467153284672,0.4941278816876903
rest_days,0.5008918723873585,0.5211786372007366,0.4946931241347485
games_of_history,0.500264157623126,0.5007874015748032,0.49930555555555556
div_game,0.5,0.5,0.5
is_dome,0.5,0.5,0.5
wind,0.5,0.5,0.5
travel_miles,0.4664062308519764,0.458980044345898,0.5408990420044215
