feature,qb_epa_r4,qb_epa_r8,qb_cpoe_r4,qb_success_r4,qb_sack_rate_r4,qb_adot_r4,qb_bad_throw_rate_r4,qb_pressured_rate_r4,qb_scramble_rate_r4,qb_consecutive_starts_prior,qb_is_new_starter,qb_is_rookie,qb_changed_last_week,qb_epa_r4_diff,qb_epa_r8_diff,qb_cpoe_r4_diff,off_epa_play_r4,off_epa_play_r8,off_success_r4,off_cpoe_r4,off_points_per_drive_r4,off_3d_rate_r4,off_pass_rate_r4,off_sack_rate_r4,off_epa_play_r4_diff,off_points_per_drive_r4_diff,def_epa_allowed_r4,def_epa_allowed_r8,def_pass_epa_allowed_r4,def_rush_epa_allowed_r4,def_success_allowed_r4,def_havoc_rate_r4,def_pressure_rate_r4,def_blitz_rate_r4,def_pressure_to_sack_r4,def_3d_stop_rate_r4,def_points_per_drive_r4,def_epa_allowed_r4_diff,def_pressure_rate_r4_diff,def_havoc_rate_r4_diff,def_points_per_drive_r4_diff,inj_qb_out,inj_ol_out,inj_cb_out,inj_edge_out,inj_total_out,is_home,rest_days,short_week,div_game,is_dome,wind,travel_miles,tz_shift,games_of_history,team_spread,total_line,team_ml_implied_prob
qb_epa_r4,1.0,0.898744477591521,0.6656211530107571,0.8115403450830105,-0.45560778914313227,0.14274301578171547,-0.30515163903971976,-0.3464729509932982,-0.037663230827831524,0.23121148163757962,,-0.22746166566437756,-0.19646814792366749,0.7079965604823688,0.6387606838327257,0.46463527545311795,0.8975681549529978,0.818252730906671,0.6903146157760034,0.665822603373993,0.8007960108326687,0.5524202500619634,-0.2594086605775449,-0.4656878615840919,0.6342980435548466,0.5681218145809266,-0.09161690938780416,-0.12573110782183794,-0.10460669216605324,-0.03689828610987598,0.014380861577967134,-0.06323872507561848,0.07795570960308859,-0.0543124040472023,0.04154002232223774,0.006746921706893484,-0.14758853085919466,-0.038135453130094456,0.03273806589261314,-0.06397706933366365,-0.07294245928289252,-0.12025678877319808,-0.07966204255083661,-0.018199612193956972,0.03275235660753733,-0.08414496791851772,0.0002659046691203581,0.000690810382080854,0.037144490566346396,-0.009581673433697587,0.00012402182569552306,0.01731831356268213,0.0030708478526583235,0.04794684776206632,-0.03583333093059925,0.393263688266102,0.36112220094305225,0.39360451609819264
qb_epa_r8,0.898744477591521,1.0,0.5880387685259811,0.7569587031672489,-0.4331945222421373,0.15027661888792043,-0.28053796254108887,-0.32192361368563055,-0.030322592289062148,0.24832798549298876,,-0.25653318824014737,-0.16968665984690298,0.6416609262871675,0.7112111629685268,0.41810752760457676,0.821358099480747,0.9098796835332678,0.6651664935249201,0.5875808126039505,0.7354178314007181,0.5010774954356033,-0.23199086033853622,-0.44490967698315054,0.5817849414657316,0.5262379810462919,-0.10677794684552858,-0.1326118868295072,-0.11382259662969092,-0.03935268086728538,0.004267199558152748,-0.059899304502550696,0.0934788994753354,-0.043927459799909786,0.03823402735622301,0.020177595713859926,-0.14376926668741735,-0.04855402635063702,0.025501139971445118,-0.04962062531730847,-0.06929459654190814,-0.13126112857193503,-0.08630391279135709,-0.01873282358396745,0.0352001609887977,-0.07946878286750557,0.0008607967608330997,0.003723394951354122,0.045595105360816894,-0.0061992827903006,0.004795799738213105,0.011040857866700657,0.009818576415547682,0.06664804025988487,-0.031090017286917442,0.42843637806390633,0.3920502809204769,0.43114959685296406
qb_cpoe_r4,0.6656211530107571,0.5880387685259811,1.0,0.6773887075019058,-0.06236857232165337,-0.0055865040435592594,-0.5285548589058575,-0.0813581378905982,0.06275523329895845,0.12280459417176369,,-0.183167931726749,-0.14616512304421966,0.4719673254303798,0.4227857339274339,0.7191689067062413,0.5870281889838705,0.5265009467839682,0.5531638249004618,0.9825373963873852,0.531591911882358,0.37979687461041606,-0.1988493558477183,-0.07802842404126126,0.4131373296826106,0.3764147781856434,-0.07488654741979892,-0.08210916587677444,-0.05361110242690594,-0.08890354488840158,0.008595878705205345,-0.037683515141842865,0.017288688146490757,-0.022195569457036792,-0.0036880348710287177,0.011556670817280177,-0.09671492467092678,-0.0461694863257203,-0.0077234867959457545,-0.05894245892941087,-0.057264302065963335,-0.10401743970130102,-0.061732642077093655,-0.008505686262785177,0.014568955286718501,-0.0634567299056357,-0.005548379503087484,0.02027731515387524,0.01101227394813273,-0.02730814906932558,-0.047323945443477074,0.041071055952873296,0.007678382723596503,0.04897774058859266,-0.1016533502650805,0.263164906582238,0.2176181966786582,0.2667254274411528
qb_success_r4,0.8115403450830105,0.7569587031672489,0.6773887075019058,1.0,-0.39773439753933965,-0.007987850616049341,-0.32874585689899444,-0.3292948099785214,-0.08452509582046594,0.22053389632215972,,-0.2342976481910625,-0.16563636203459894,0.5834721494393527,0.548029912811207,0.4878222750253083,0.735555833256975,0.6925755326154049,0.8301438136072783,0.679464419531958,0.683523299452278,0.523194937534829,-0.18300705019618732,-0.4036251440618218,0.5278491658396587,0.49546846629647867,-0.05540274658643644,-0.06450822900683646,-0.05165199286250265,-0.046831471820252234,0.030412659097786888,-0.07462119807937423,0.07069337593666562,-0.01160819348590433,-0.019987444555038366,-0.03048830221637258,-0.06715427356682983,-0.01839507794134351,0.012985553098928326,-0.07535442124477197,-0.02494855465600641,-0.11007314496241319,-0.07356892218915245,-0.01811633902951465,0.05154653607171283,-0.08789959502116888,-0.0015331406148014334,0.01220343573367687,0.04248697822555936,-0.016340484260988136,0.014878222286153998,0.00801856530717169,0.011438666411670474,0.06024848791157727,-0.06092212058694508,0.3520741837642744,0.3572149863635956,0.3542165002538291
qb_sack_rate_r4,-0.45560778914313227,-0.4331945222421373,-0.06236857232165337,-0.39773439753933965,1.0,-0.0008715021340632044,-0.11898500011138671,0.4507704868297387,0.2479259864343968,-0.1093490443539607,,0.16686955268700446,0.0954084748642328,-0.32094937207135743,-0.3081763652900319,-0.03948150020048211,-0.42526069695133617,-0.4026876596660445,-0.38440972021134645,-0.0721981761343071,-0.3644605363845757,-0.32293422805848243,0.040054750779606116,0.9797993024252262,-0.3041087533491391,-0.2606909466325906,0.033949174825964136,0.042512532772868476,0.04530079694164635,-0.00555191717025844,-0.039974458262318914,0.053122101557353224,-0.10922071940649851,0.02384135527611888,-0.014873583019583905,0.05458028161566697,0.04489462266934616,-0.0009202644241768438,-0.06071962317044716,0.05640874353531121,0.01060750904627541,0.044706860579653326,0.08953711901875779,0.04199495032126287,-0.00763693724436155,0.09948185172519866,0.0021905420714682876,-0.009520325198849886,-0.014979601170950227,0.01804637391493381,-0.04648691233602602,0.029057680810392134,-0.011712392040899109,-0.005115542985205486,-0.00892094380331797,-0.19495265589283664,-0.23207299848181107,-0.19068258929193785
qb_adot_r4,0.14274301578171547,0.15027661888792043,-0.0055865040435592594,-0.007987850616049341,-0.0008715021340632044,1.0,0.24659900800157553,-0.003083285311990609,0.11274066078690631,0.039658136191617684,,0.011577200175800554,-0.00423697887033698,0.10930341907046935,0.10310567227364953,-0.004735014039978565,0.15290080042191087,0.1643868513216745,0.04769325205110781,0.00032070984604600655,0.10829697993068427,0.002948380917547803,-0.13152206199483144,-0.0032189815655837262,0.12172484155267622,0.09353288563675148,-0.0243902360276355,-0.06461263338555917,-0.015012807235939733,-0.031819798860369605,-0.03629381075715166,-0.038042396766641534,0.026231910020210643,-0.08889656741612453,0.01440134196830734,0.04657189749529375,-0.04882282498172746,-0.00840070037399536,0.020169985325150484,-0.02482438549696146,-0.01766307679553142,-0.010110235353043397,-0.025133119686599807,-0.03578168340010577,-0.01183295512849337,-0.032074774042594636,0.0034604407263689814,-0.015417511595007075,0.0020749425539642683,0.004970758886338082,-0.0348060727339044,0.032784730815748786,0.000865383208967472,-0.0020016855507328057,0.0040571961794948624,0.10501378831573796,0.03448407742507035,0.10238686871294601
qb_bad_throw_rate_r4,-0.30515163903971976,-0.28053796254108887,-0.5285548589058575,-0.32874585689899444,-0.11898500011138671,0.24659900800157553,1.0,0.1067178728951591,-0.19304398792664035,-0.12169194737680741,,0.12700491942966827,0.060779487223614606,-0.21665197602740952,-0.21181647239048745,-0.382485086016114,-0.2719195632121266,-0.25856314808509573,-0.24871796853173672,-0.5228627138174575,-0.28241287447717595,-0.2479623214749626,0.0668824171037917,-0.09976327987994914,-0.1826280372953082,-0.18831825249100442,0.024885211441642047,0.015055222447062547,0.025074442251594966,0.03460075866270633,-0.007089441383784031,0.00749537524108494,0.0688015933436781,0.05586599681068486,-0.07008507398483987,0.05631882075470787,0.013318119805834555,0.006439699756432315,0.047860099860508626,0.0032593803044259242,-0.006176779889693052,0.04760491372376317,0.019537347226941774,-0.0004928373221304651,-0.052721252653081564,-0.009822030275585343,0.014050421730185341,-0.0010120791469515672,-0.019326566062563437,-0.00499638665142009,0.01065039337899254,-0.0006262333611971821,-0.007293391118539313,-0.015295027442121528,-0.05724946469336566,-0.08568768748712034,-0.08140507452346368,-0.09314080862642471
qb_pressured_rate_r4,-0.3464729509932982,-0.32192361368563055,-0.0813581378905982,-0.3292948099785214,0.4507704868297387,-0.003083285311990609,0.1067178728951591,1.0,0.01490329079611861,-0.1433862629756195,,0.11058683955857239,0.06433204943797338,-0.23658411700876575,-0.23145209095534397,-0.03671758269574746,-0.35567458487992665,-0.33585929759107297,-0.35043867811800283,-0.08808664551095609,-0.3175705991361204,-0.29569105055277134,0.06295081118282189,0.47348484563916543,-0.23426112843010205,-0.21831316197050196,0.010547796172566192,0.01809538555657601,0.010695402081263437,0.028787467240218082,0.0010440102792464794,0.07117358040252447,0.17605287962009464,0.08988562013031229,-0.17451572850607378,0.01800379708114164,0.007815430401535206,-0.01505305745735027,0.08370052743355975,0.048010169254629934,-0.018396969586764608,0.05165122848694656,0.048939808244894335,-0.006729533965666162,-0.02030682667348768,0.017352140727394202,0.005572090093625996,-0.035111729011252334,-0.03836510752441842,0.01640462735979442,0.006262033116886383,0.003960519007381961,-0.01623115041326748,-0.015240707592200621,-0.0775354556192212,-0.16034389555095016,-0.1322179951617309,-0.1621174928848448
qb_scramble_rate_r4,-0.037663230827831524,-0.030322592289062148,0.06275523329895845,-0.08452509582046594,0.2479259864343968,0.11274066078690631,-0.19304398792664035,0.01490329079611861,1.0,-0.07741290823963642,,0.07225811756714584,0.03405018832788067,-0.04460067697943411,-0.021904405932057586,0.016119522580120543,0.05870976521894012,0.07507095123221982,0.03866933710526919,0.05108555322068794,0.045577156363145875,0.04871047241139355,-0.06763319998575938,0.16885969221597374,0.02103824486866259,0.020369546718126103,0.0030615006788559033,0.012624816542714403,0.005353678933192933,0.038086673111791085,0.008673585243079743,0.05936294727073589,-0.09865290936226692,0.01897531866901748,0.0028798909438622787,0.0009268757306779096,0.011078435229585846,-0.007547434661223486,-0.05378747043053698,0.06187491003595691,-0.0044809649272915,0.043360085734225846,0.013743440542996555,-0.00824643443304282,-0.02928295674158928,-0.006638339155640626,-0.014101135879077553,-0.022471292079929938,0.011120645389009668,-0.022273268534905813,-0.14383691445408273,0.08651443954459741,-0.014473662424191625,-0.08454737856119524,-0.087199633745317,-0.009919272940708079,-0.05487750134969198,-0.007134868757455612
qb_consecutive_starts_prior,0.23121148163757962,0.24832798549298876,0.12280459417176369,0.22053389632215972,-0.1093490443539607,0.039658136191617684,-0.12169194737680741,-0.1433862629756195,-0.07741290823963642,1.0,,-0.05845567257245904,-0.39934448349558865,0.17376184028286185,0.18127042063177867,0.12424709953168436,0.2706522594420451,0.27249145655043705,0.24368994771699798,0.13206993320795923,0.279929820099786,0.2079815398436006,-0.024358504942111607,-0.12289331193969073,0.205921006825266,0.19015137102577054,-0.045358905586063814,-0.056583062173981895,-0.07111659968778865,-0.012965256461335615,-0.03838716088071089,-0.04782606028397131,0.03290227717251457,-0.04529579777754134,0.025869051064413867,0.0022128037903234657,-0.03304845442345172,-0.01881407438844236,0.04834500441349171,-0.039377725745800465,-0.014584105649210985,-0.1702278706832613,-0.03863068358706304,0.0020630544964734057,-0.03028630339635831,-0.05709858734503559,-0.0021892768678760544,0.005563737290088902,0.06481730425527327,0.09497241662222008,-0.030963549767989314,0.05303899445449853,-0.009481018566252341,0.009961348924297786,0.5233011765793627,0.2118850585381889,0.11268458901934662,0.21421327565080278
