season,team_games,home_win_rate,favorite_win_rate
2021,542,0.5166051660516605,0.6236162361623616
2022,538,0.5613382899628253,0.6617100371747212
2023,544,0.5551470588235294,0.6801470588235294
2024,544,0.5330882352941176,0.7132352941176471
2025,542,0.5387453874538746,0.6531365313653137
