feature,n,raw_corr,raw_auc,corr_with_spread,residual_corr,residual_p,residual_auc,survives_bh
def_havoc_rate_r4_diff,2548,0.06506655140636662,0.5425469910219854,0.018034077240717927,0.05794144033636132,0.003435997577580088,0.5382865620587083,False
def_3d_stop_rate_r4,2550,-0.0007446344357271576,0.5068373744482119,0.10090239227199954,-0.040879580738070416,0.03900176040989829,0.4831999896655069,False
def_havoc_rate_r4,2550,0.04585240570166551,0.5284020167025093,0.012642575287905843,0.040853099665225726,0.039128776308017005,0.5254167015250759,False
def_epa_allowed_r8,2550,-0.05954991583520723,0.46288379108576155,-0.2457652061397841,0.038890299246470215,0.049571416092773934,0.5257710270025541,False
qb_cpoe_r4_diff,2548,0.1741136000447999,0.6008652706342772,0.35269132478023413,0.036958957537024884,0.06213577027585636,0.5205307699701062,False
def_blitz_rate_r4,2550,0.04351358674851124,0.5214585291555734,0.01897268893590905,0.03601272001327989,0.06902572610889933,0.5160762882437759,False
qb_pressured_rate_r4,2550,-0.02469614862029081,0.48178760894278133,-0.14794289822381132,0.03422029619724881,0.08404220864195226,0.516245761627535,False
travel_miles,2710,-0.032001211590182765,0.4664062308519764,-0.16775358344567806,0.03417417097609178,0.07528466958579338,0.5479655778107596,False
qb_bad_throw_rate_r4,2550,-0.06475011382534271,0.46436414570651025,-0.08742853999354312,-0.030271219189144015,0.12645734256726418,0.48362321176360584,False
def_pass_epa_allowed_r4,2550,-0.053045853973131954,0.4676161277146499,-0.2042061232559963,0.028354445677349988,0.15231129259701012,0.5160135431071392,False
def_points_per_drive_r4_diff,2548,-0.08450720873778836,0.4497109192668735,-0.28117335729965826,0.027852572005780528,0.15986758297503112,0.5156794875902299,False
off_cpoe_r4,2550,0.12844097547352734,0.5727013134648603,0.2583683434400993,0.02712766362736043,0.17085546294469103,0.5130626762400161,False
def_pressure_to_sack_r4,2550,-0.02151439248199261,0.48525919892914965,0.013538135637168077,-0.026873792792459966,0.17489573976169634,0.48215516011082515,False
qb_cpoe_r4,2550,0.12603109850268226,0.5693924302298686,0.25467681777930246,0.026118645999833365,0.1873345819924723,0.5106143856143857,False
qb_epa_r4_diff,2548,0.19138841507385868,0.6133274104231718,0.5386939622470216,-0.025788051630411417,0.1931559076717658,0.48779724424487825,False
inj_total_out,2710,-0.07335527843776815,0.4618316744053049,-0.12363285799077685,-0.025134368972382158,0.19085993885035266,0.502064514372081,False
qb_adot_r4,2550,0.008420622829125434,0.5069785510056446,0.07981782702681836,-0.023236823058821396,0.24080178577782113,0.4884795007947717,False
off_success_r4,2550,0.16662998660944212,0.6000425067543295,0.3739104838148894,0.020137095825035593,0.30940183034624985,0.5149318046485534,False
def_points_per_drive_r4,2550,-0.05814808908437868,0.46667310521990324,-0.19405854755749266,0.019000607087232668,0.337508491027436,0.5113482576536764,False
is_home,2710,0.08191881918819185,0.5409594095940959,0.2550763692633726,-0.018581929121744625,0.33355955325747144,0.43035906373823885,False
def_rush_epa_allowed_r4,2550,-0.058538815167629744,0.46984050432326296,-0.10179463228983447,-0.01835479735385579,0.3541885735103595,0.4938595886871749,False
off_3d_rate_r4,2550,0.09812645405539905,0.5605099949311771,0.29090503267907036,-0.017750116579896016,0.3702698267013308,0.4927212565759364,False
short_week,2710,0.02777623434373462,0.5099630996309963,0.026253602796601345,0.01750154448813435,0.3624329762643919,0.3460957775629417,False
qb_success_r4,2550,0.1510871973051145,0.5890095126548328,0.3403375369446313,0.01746055525404367,0.3781285778978751,0.5092635197315001,False
off_epa_play_r4_diff,2548,0.22115312654323088,0.6273483188710818,0.5933000448612296,-0.016850940298355918,0.39519167074232103,0.4908112743950376,False
qb_epa_r4,2550,0.13465807150989056,0.5830050491380541,0.37857972760509595,-0.016360808406063417,0.4089002415913625,0.4923875385698046,False
inj_ol_out,2710,-0.04085957612932667,0.48456910989774105,-0.06297771586907404,-0.016230172687966518,0.39835060575056014,0.6050748219659319,False
def_success_allowed_r4,2550,-0.050763881537609926,0.46803104530937045,-0.1667278853933613,0.015424980914803554,0.4362225913377671,0.5066780510130264,False
def_epa_allowed_r4_diff,2548,-0.11130223604527031,0.4354164561610177,-0.3138266371805687,0.013535808713417696,0.4946367000196193,0.5093680148064539,False
off_points_per_drive_r4_diff,2548,0.21043673951976433,0.6235622977605485,0.5588056791589232,-0.012823638292403293,0.517620961182177,0.49452336181423423,False
qb_consecutive_starts_prior,2710,0.0878440266809066,0.5467164118135647,0.1922911711903265,0.012782737019606381,0.5059484472304103,0.4996590460369548,False
qb_epa_r8_diff,2548,0.2189135526542102,0.6363127789456563,0.5789005043504769,-0.012395915709028732,0.5316859058314634,0.49404648950511254,False
off_epa_play_r4,2550,0.15256419218549389,0.5926659547349202,0.4083572553825395,-0.009881084128750706,0.6179641003471541,0.496984542551045,False
