feature,mutual_info,abs_corr_with_won
team_ml_implied_prob,0.08520567794041578,0.40740386907939563
team_spread,0.08080683464033767,0.4064216127116807
qb_epa_r8_diff,0.049120060651885566,0.24064738755024923
off_epa_play_r8,0.03500738750102994,0.1812096158717913
qb_success_r4,0.030465068548362284,0.16144206640435588
off_epa_play_r4,0.02837266905535185,0.1670774064085573
qb_epa_r4_diff,0.0238498772583835,0.21239253561548127
off_points_per_drive_r4_diff,0.023824395168027923,0.2306728072709851
off_success_r4,0.023657133319222368,0.177081639103853
qb_epa_r8,0.021363522767611887,0.17115110836495084
off_cpoe_r4,0.01949766929236807,0.14178479451456072
qb_cpoe_r4,0.0164268136514647,0.1383623708740528
qb_cpoe_r4_diff,0.015935219734123374,0.19239203695241203
total_line,0.014580337464285442,0.0
def_epa_allowed_r4_diff,0.01391604335727381,0.12082664470559762
off_pass_rate_r4,0.012534186879614273,0.06206766058565039
inj_qb_out,0.011101564771234695,0.091981762869992
qb_is_rookie,0.010250582430382016,0.07383666556237133
def_points_per_drive_r4_diff,0.01025031437495083,0.08794836208722454
def_rush_epa_allowed_r4,0.01020440468957351,0.06776039805456942
off_epa_play_r4_diff,0.009408020255384564,0.24033570228450718
qb_is_new_starter,0.008298859110176693,
qb_epa_r4,0.007729112107344838,0.15037318468788974
qb_scramble_rate_r4,0.007726009453850935,0.014484112966165884
def_3d_stop_rate_r4,0.007338252561402525,0.0036296460656268094
is_dome,0.006485711547032702,0.0
inj_cb_out,0.005983753873684439,0.0315537660259131
rest_days,0.005733723022895543,0.02286660781143164
def_points_per_drive_r4,0.005544139243028434,0.06077945543012921
qb_pressured_rate_r4,0.0053240200761321965,0.04884060077398444
qb_adot_r4,0.005265836641308086,0.015723868228691453
def_blitz_rate_r4,0.004661937265574512,0.039211394454559845
qb_consecutive_starts_prior,0.003986828845153889,0.09712428286577476
div_game,0.0038362356625836203,0.0
qb_changed_last_week,0.002271669281680433,0.06640001226401425
def_epa_allowed_r4,0.0012509570664489544,0.08236688419291151
qb_sack_rate_r4,0.001242850154351105,0.08350479312564188
inj_total_out,0.0011541079370414042,0.09239058247563033
def_havoc_rate_r4,0.0009765029122748015,0.038643718755243806
off_points_per_drive_r4,4.796912765314687e-05,0.16110628270573513
off_3d_rate_r4,0.0,0.11084890395187266
qb_bad_throw_rate_r4,0.0,0.06375876501542627
off_sack_rate_r4,0.0,0.08469223341920505
def_epa_allowed_r8,0.0,0.06870100258456577
games_of_history,0.0,0.0007742419202794286
tz_shift,0.0,0.021138643368766308
travel_miles,0.0,0.04146672283164377
wind,0.0,0.0
def_pass_epa_allowed_r4,0.0,0.058437398331738076
def_success_allowed_r4,0.0,0.049803175715821886
short_week,0.0,0.026101844883193715
def_pressure_rate_r4,0.0,0.041993536449303995
is_home,0.0,0.09170305676855894
def_pressure_to_sack_r4,0.0,0.022876174948065372
inj_edge_out,0.0,0.007896488624817776
def_pressure_rate_r4_diff,0.0,0.06095558760057855
inj_ol_out,0.0,0.03611140094439974
def_havoc_rate_r4_diff,0.0,0.055340100851500075
