feature,mean_win,mean_loss,std_mean_diff,auc
off_epa_play_r4_diff,0.04054049457457583,-0.04054049457457583,0.4422194497781809,0.6273483188710818
qb_epa_r4_diff,0.054018825158666205,-0.054018825158666205,0.3827017095837229,0.6133274104231718
off_points_per_drive_r4,2.194926865258465,2.014710367693502,0.29161953743273694,0.5901053995265818
qb_epa_r4,0.061714818271878386,0.007536783518359112,0.26926341357317424,0.5830050491380541
qb_cpoe_r4,1.298224098458671,-0.07465401107676953,0.25201284571134425,0.5693924302298686
def_pressure_rate_r4,0.23470981209095776,0.22828332200822352,0.10098375608365251,0.5330574597815977
def_havoc_rate_r4,0.062414943570075265,0.06065015596699636,0.09168685650503859,0.5284020167025093
rest_days,7.454612546125461,7.371217712177121,0.041267505310392937,0.5008918723873585
def_points_per_drive_r4,2.073498231345739,2.1389876633049436,-0.11627340852320767,0.46667310521990324
inj_total_out,2.124723247232472,2.3719557195571954,-0.1466834860095663,0.4618316744053049
def_epa_allowed_r4,-0.016442207357994502,0.0022074583846836424,-0.15219093375136458,0.4546893992706801
def_epa_allowed_r4_diff,-0.018728663973951988,0.018728663973951988,-0.22256078560751946,0.4354164561610177
