feature,n,raw_corr,raw_auc,corr_with_spread,residual_corr,residual_p,residual_auc,survives_bh
def_3d_stop_rate_r8,2550,-0.020350404120942286,0.49661391564100926,0.09218983719071863,-0.05707226778727712,0.003939760871290462,0.4725496178698149,False
off_turnover_rate_r4,2550,0.014288546204441383,0.508209155376643,-0.10485850166376143,0.0560894718146044,0.00460814827028507,0.5318308538751888,False
off_turnover_rate_r8,2550,0.01329032190986538,0.5045145740958549,-0.10490633506678078,0.0551050257209451,0.0053789459499278824,0.5310222413054926,False
roster_continuity_score,1430,0.1791087727481542,0.6041402594557376,0.2927607490518955,0.054287710072054615,0.04010878838569367,0.5277187690718745,False
def_3d_stop_rate_r4,2550,-0.0007446344357271576,0.5068373744482119,0.10090239227199954,-0.040879580738070416,0.03900176040989829,0.4831999896655069,False
off_avg_start_field_pos_r8,2550,0.011286552688700335,0.5085256492276197,0.11536692523976559,-0.03459425130407617,0.08070843205519142,0.47950264021692596,False
off_penalty_yards_per_game_r4,2550,0.009397260343358312,0.5099294178727676,-0.06210685207845463,0.03403818059669356,0.0857056273229256,0.5251223530164417,False
def_takeaway_rate_r4,2550,0.09448732071304028,0.5561202959601974,0.15804996107493596,0.032354815189459235,0.10237131308272958,0.5189859401682062,False
qb_bad_throw_rate_r4,2550,-0.06475011382534271,0.46436414570651025,-0.08742853999354312,-0.030271219189144015,0.12645734256726418,0.48362321176360584,False
off_avg_start_field_pos_r4,2550,0.012457407035508971,0.5075761676746898,0.09956888501177122,-0.027075793187835814,0.17167523400345996,0.48474401214548996,False
def_takeaway_rate_r8,2550,0.09743108502977874,0.559546057390885,0.1821990460828909,0.025767612905809353,0.19333423192721022,0.5126686736908411,False
def_broken_tackle_rate_allowed_r8,2550,-0.000232410360134383,0.5058722066111229,-0.06520268483486112,0.025622320155819858,0.19585833916561268,0.5215575680477158,False
qb_time_to_throw_r4,2470,0.032243097874678266,0.5255782848151063,0.017380063062627293,0.02541302805864129,0.20674409389023354,0.5217355100970364,False
off_penalty_yards_per_game_r8,2550,-0.0009556416188865446,0.5013831611738016,-0.06587010960797235,0.025163310086978922,0.20399097347942227,0.5190505307500382,False
off_red_zone_td_rate_r4,2548,0.014493816108209927,0.5087254131817692,0.09389179758443357,-0.02284955543986961,0.2489194256014991,0.48683024505953204,False
qb_time_to_throw_r8,2470,0.023744018622802142,0.5184054550222922,0.005646659364936227,0.02152407337044764,0.2849303025991622,0.5171190663519538,False
off_yards_per_drive_r8,2550,0.16410410677398385,0.5975339315856557,0.366289318874706,0.020597725839081083,0.29846327540291784,0.5071735530479373,False
off_3d_rate_r4,2550,0.09812645405539905,0.5605099949311771,0.29090503267907036,-0.017750116579896016,0.3702698267013308,0.4927212565759364,False
qb_bad_throw_rate_r8,2550,-0.059399936945317956,0.4661951349143467,-0.10572741930028794,-0.017663400706580283,0.37261260765878557,0.4903372489579386,False
turnover_margin_rate_r8,2550,0.05709375080193185,0.5366486961314547,0.18766665400838853,-0.01747500137834379,0.3777340903822371,0.48865081962372603,False
def_red_zone_td_rate_allowed_r8,2547,-0.010379284695751124,0.4853764516260308,-0.07004666041452887,0.017384932138837433,0.3804784575821517,0.5032892424599303,False
off_3d_rate_r8,2550,0.10848717536382567,0.5673667465539387,0.31064802013336235,-0.015185173463323747,0.4433896246293641,0.4905005708577137,False
off_red_zone_td_rate_r8,2548,0.028666633756904064,0.5200653081342513,0.10957974317636827,-0.014888119300806909,0.4525376241590734,0.49122067680174974,False
turnover_margin_rate_r4,2550,0.05390704055375086,0.5328587668489146,0.17076062785157123,-0.013865289028986302,0.48401903709588,0.49381868131868134,False
off_yards_per_drive_r4,2550,0.1507966600227803,0.5855514559332293,0.34974392610970995,0.013241934166717909,0.5038870130520731,0.5045038089988829,False
off_plays_per_drive_r8,2550,0.06419747737298447,0.5324890626614764,0.131323944878151,0.012340464090095062,0.5333626817369138,0.4987195686087312,False
off_explosive_play_rate_r4,2550,0.08454960217642753,0.5484573923613333,0.24371518451444552,-0.012256208987592988,0.536161455236372,0.49341299094993674,False
def_penalty_yards_per_game_r8,2550,-0.004223640880882453,0.5016107660812095,0.019924967145112923,-0.01211020321778574,0.5410288845116799,0.4961144151415087,False
st_epa_r4,2550,-0.006909708439538894,0.49655762956255567,0.012212655621803575,-0.011743039294573123,0.553365807970321,0.4936824259484358,False
off_explosive_play_rate_r8,2550,0.09406462947204042,0.5598610133708656,0.26533967734614833,-0.011334553070711139,0.567251103164693,0.4990385230533014,False
def_penalty_yards_per_game_r4,2550,-0.0032103959084340476,0.49942575897009395,0.018657659350242096,-0.010594934286789546,0.5928084667477075,0.4947004965477872,False
def_explosive_play_rate_allowed_r8,2550,-0.0661831490386408,0.45690547137591475,-0.18958854877650463,0.008998805746708595,0.6496821430483535,0.5032609016599164,False
rush_matchup_z,2548,-0.013148306397532287,0.4958566327146726,-0.01056611180735225,-0.008968705012935126,0.6509039844315492,0.5004805689936885,False
off_plays_per_drive_r4,2550,0.06475907247020854,0.5343320472630817,0.14331098306493734,0.008135986765634104,0.6813273266630661,0.5004398311048557,False
st_epa_r8,2550,-0.0068389403634552415,0.49761568480780305,0.0015416486070009509,-0.00744896786247313,0.7069353159163753,0.49721768379403847,False
coach_tenure_censored,2710,0.081824983484848,0.5402214022140222,0.19074202175153773,0.007265164074549866,0.7054024056293878,0.42819269890115874,False
off_drop_rate_r4,2550,0.011061877089591044,0.5082851262038454,0.012502181599005445,0.00611533671375368,0.7575795343148676,0.5052038478762617,False
coach_tenure_weeks,2710,0.05348065256097595,0.5341269862883131,0.14800488799564698,-0.004526854977026389,0.8137819035393599,0.49708881959668305,False
pass_matchup_z,2548,-0.005028510655549,0.4981399515487876,-0.0049755077916091755,-0.0030601678592801426,0.8772984109271923,0.5005335548058132,False
def_explosive_play_rate_allowed_r4,2550,-0.05806392438368063,0.46384895892285055,-0.13908631537567703,-0.0030582509561306506,0.8773268812191704,0.49629219302864624,False
def_broken_tackle_rate_allowed_r4,2550,-0.020497227889672263,0.4911597023665989,-0.04412474847288745,-0.0030403612090141793,0.8780388496122389,0.5011401775564337,False
off_drop_rate_r8,2550,0.0067195697601388354,0.5103274188865322,0.011858279494028632,0.002027481167547293,0.91849261138658,0.5070917383109501,False
def_red_zone_td_rate_allowed_r4,2547,-0.025832362240567078,0.47944786108291887,-0.0699723877083006,0.001864327859114241,0.9250754421565403,0.4962128545901411,False
mobility_pressure_z,2548,-0.005719574895304976,0.500178673087397,-0.010252362487167021,-0.0016636839215009728,0.9331058713049669,0.50483526341342,False
division_familiarity,2710,0.0,0.5,0.0,0.0,1.0000000000000007,0.5,False
