feature,n,auc,lower_is_better,auc_oriented,std_mean_diff
roster_continuity_score,1430,0.6041402594557376,False,0.6041402594557376,0.3580926229317381
off_yards_per_drive_r8,2550,0.5975339315856557,False,0.5975339315856557,0.3281439536143522
off_yards_per_drive_r4,2550,0.5855514559332293,False,0.5855514559332293,0.30153427104579533
off_3d_rate_r8,2550,0.5673667465539387,False,0.5673667465539387,0.21693186928812966
off_3d_rate_r4,2550,0.5605099949311771,False,0.5605099949311771,0.19621448372552538
off_explosive_play_rate_r8,2550,0.5598610133708656,False,0.5598610133708656,0.18809242508925383
def_takeaway_rate_r8,2550,0.559546057390885,False,0.559546057390885,0.19482401796708831
def_takeaway_rate_r4,2550,0.5561202959601974,False,0.5561202959601974,0.18893764205369482
off_explosive_play_rate_r4,2550,0.5484573923613333,False,0.5484573923613333,0.1690660963951702
def_explosive_play_rate_allowed_r8,2550,0.45690547137591475,True,0.5430945286240852,-0.13234038206063017
coach_tenure_censored,2710,0.5402214022140222,False,0.5402214022140222,0.16361977046294032
turnover_margin_rate_r8,2550,0.5366486961314547,False,0.5366486961314547,0.1141651448164039
def_explosive_play_rate_allowed_r4,2550,0.46384895892285055,True,0.5361510410771495,-0.1161051120790492
qb_bad_throw_rate_r4,2550,0.46436414570651025,True,0.5356358542934898,-0.12947487278237768
off_plays_per_drive_r4,2550,0.5343320472630817,False,0.5343320472630817,0.12949278656407942
coach_tenure_weeks,2710,0.5341269862883131,False,0.5341269862883131,0.10694156874294415
qb_bad_throw_rate_r8,2550,0.4661951349143467,True,0.5338048650856533,-0.11877661404613883
turnover_margin_rate_r4,2550,0.5328587668489146,False,0.5328587668489146,0.10779297217296303
off_plays_per_drive_r8,2550,0.5324890626614764,False,0.5324890626614764,0.1283698162792015
qb_time_to_throw_r4,2470,0.5255782848151063,False,0.5255782848151063,0.06447366893896884
def_red_zone_td_rate_allowed_r4,2547,0.47944786108291887,True,0.5205521389170811,-0.05165458519647535
off_red_zone_td_rate_r8,2548,0.5200653081342513,False,0.5200653081342513,0.05732203342698964
qb_time_to_throw_r8,2470,0.5184054550222922,False,0.5184054550222922,0.04747881242420619
def_red_zone_td_rate_allowed_r8,2547,0.4853764516260308,True,0.5146235483739692,-0.02075449548912021
def_broken_tackle_rate_allowed_r4,2550,0.4911597023665989,True,0.5088402976334011,-0.04098642946891671
off_red_zone_td_rate_r4,2548,0.5087254131817692,False,0.5087254131817692,0.02898195227541631
def_3d_stop_rate_r4,2550,0.5068373744482119,False,0.5068373744482119,-0.0014889772872864098
def_penalty_yards_per_game_r4,2550,0.49942575897009395,True,0.5005742410299061,-0.006419534689109229
mobility_pressure_z,2548,0.500178673087397,False,0.500178673087397,-0.011436904839201716
division_familiarity,2710,0.5,False,0.5,0.0
off_penalty_yards_per_game_r8,2550,0.5013831611738016,True,0.49861683882619845,-0.0019109090273519845
def_penalty_yards_per_game_r8,2550,0.5016107660812095,True,0.49838923391879053,-0.008445627867246322
pass_matchup_z,2548,0.4981399515487876,False,0.4981399515487876,-0.010055047604610349
st_epa_r8,2550,0.49761568480780305,False,0.49761568480780305,-0.013675202732664045
def_3d_stop_rate_r8,2550,0.49661391564100926,False,0.49661391564100926,-0.04069283942474944
st_epa_r4,2550,0.49655762956255567,False,0.49655762956255567,-0.013816711173447621
rush_matchup_z,2548,0.4958566327146726,False,0.4958566327146726,-0.026291452042822714
off_turnover_rate_r8,2550,0.5045145740958549,True,0.4954854259041451,0.02657543959163205
def_broken_tackle_rate_allowed_r8,2550,0.5058722066111229,True,0.49412779338887713,-0.00046472971295274533
off_avg_start_field_pos_r4,2550,0.5075761676746898,True,0.4924238323253102,0.02490993599596832
off_turnover_rate_r4,2550,0.508209155376643,True,0.491790844623357,0.02857149729582587
off_drop_rate_r4,2550,0.5082851262038454,True,0.49171487379615464,0.022119422566150532
off_avg_start_field_pos_r8,2550,0.5085256492276197,True,0.49147435077238033,0.022568685785830687
off_penalty_yards_per_game_r4,2550,0.5099294178727676,True,0.4900705821272324,0.018790840904792147
off_drop_rate_r8,2550,0.5103274188865322,True,0.4896725811134678,0.01343650826920646
