stage,auc,n_calibration_rows,brier,log_loss,ece,mean_pred,base_rate
uncalibrated,0.7007461772034693,544,0.2187818608745063,0.6261007385194183,0.06912889782626704,0.49864204520288413,0.5
Platt-calibrated,0.7007461772034693,544,0.22044843029976735,0.6297627786879455,0.07840025129750815,0.49905008323041766,0.5
