band,n,share,model_accuracy,market_accuracy
coin-flip (<.05),35,0.06457564575645756,0.5714285714285714,0.5428571428571428
lean (.05-.10),97,0.17896678966789667,0.6082474226804123,0.6082474226804123
confident (.10-.20),250,0.4612546125461255,0.584,0.584
strong (>.20),160,0.2952029520295203,0.8125,0.8125
