model,n,auc,accuracy,precision,recall_sensitivity,specificity,f1,log_loss,brier,ece,mean_pred,base_rate,TP,FP,TN,FN,role,params
LR,542,0.698233956509307,0.6494464944649446,0.6505576208178439,0.6457564575645757,0.6531365313653137,0.6481481481481481,0.625779240099579,0.2194202544896782,0.06216193177785232,0.4977894224122819,0.5,175,94,177,96,single,"{'thresh__mode': 'binary', 'clf__C': 0.03, 'clf__l1_ratio': 0.5}"
GBM,542,0.6963685135006332,0.6531365313653137,0.6531365313653137,0.6531365313653137,0.6531365313653137,0.6531365313653137,0.629314948713019,0.21994690803068773,0.06837490192696438,0.4989535215364599,0.5,177,94,177,94,single,"{'clf__max_depth': 2, 'clf__learning_rate': 0.02, 'clf__min_samples_leaf': 80, 'clf__l2_regularization': 10.0, 'clf__max_features': 0.7}"
RF,542,0.7047221579226863,0.6531365313653137,0.6531365313653137,0.6531365313653137,0.6531365313653137,0.6531365313653137,0.6264150336889931,0.2186183773732947,0.06245611452255471,0.4991831916599108,0.5,177,94,177,94,single,"{'clf__max_depth': 4, 'clf__min_samples_leaf': 50, 'clf__max_features': 0.6, 'clf__max_samples': 0.7}"
SimpleAvg (PRODUCTION),542,0.7007461772034693,0.6549815498154982,0.6555555555555556,0.6531365313653137,0.6568265682656826,0.6543438077634011,0.6261007385194183,0.2187818608745063,0.06912889782626705,0.49864204520288424,0.5,177,93,178,94,PRODUCTION,
MARKET (spread only),542,0.7187402132323906,0.6531365313653137,0.6531365313653137,0.6531365313653137,0.6531365313653137,0.6531365313653137,0.6093980694216377,0.212337323201454,0.03482593457822057,0.5,0.5,177,94,177,94,benchmark,
Coin flip (p=0.5),542,0.5,0.5,0.0,0.0,1.0,0.0,0.6931471805599453,0.25,0.0,0.5,0.5,0,0,271,271,floor,
