game_id,season,week,team,opponent,is_home,model_prob,ci_lo,ci_hi,ci_lo_raw,ci_hi_raw,ci_widened,history_source,blend_weight,games_of_history,market_prob_devig,overround,edge,ev_dollars,team_moneyline,qualifies,stake,confidence_label
2026_03_ARI_SF,2026,3,ARI,SF,False,0.26240509044412996,0.14667536521488617,0.3852481056626081,0.20234233798602128,0.32958113289147295,True,blended_prior_season,0.125,1,0.19185306419348974,1.0418257865066376,0.07055202625064022,2.3330392508741085,370.0,False,0.0,no edge
2026_03_ARI_SF,2026,3,SF,ARI,True,0.7927360532707081,0.6842907811000832,0.8922859037861243,0.7328229763934928,0.8437537084927147,True,blended_prior_season,0.125,1,0.8081469358065102,1.0418257865066376,-0.01541088253580214,-0.4381321409615633,-485.0,False,0.0,no edge
2026_03_ATL_GB,2026,3,ATL,GB,False,0.3174223379441141,0.16717495873086366,0.4760163004531476,0.23923793846606325,0.403953320717948,True,blended_prior_season,0.125,1,0.264808362369338,1.0418118466898956,0.052613975574776095,1.1097818280439942,250.0,False,0.0,no edge
2026_03_ATL_GB,2026,3,GB,ATL,True,0.7293513824037228,0.6045871327762241,0.8523625028793372,0.6624013858002838,0.7945482498552775,True,blended_prior_season,0.125,1,0.735191637630662,1.0418118466898956,-0.005840255226939206,-0.3537397811120542,-310.0,False,0.0,no edge
2026_03_BAL_DAL,2026,3,BAL,DAL,False,0.608108886734522,0.48932236128254436,0.7305041687821088,0.545598116365776,0.6742284136988771,True,blended_prior_season,0.125,1,0.5865302642796267,1.0426257459505541,0.02157862245489528,0.004372007567941871,-155.0,False,0.0,no edge
2026_03_BAL_DAL,2026,3,DAL,BAL,True,0.4515549305020021,0.3051082407636151,0.5972954630041657,0.37328525928641026,0.5291184444813706,True,blended_prior_season,0.125,1,0.4134697357203777,1.0426257459505541,0.03808519478162442,0.3857634015460487,130.0,False,0.0,no edge
2026_03_CAR_CLE,2026,3,CAR,CLE,False,0.5879724638501147,0.47436375899333005,0.6872073672888275,0.5240272675956128,0.6375438586865447,True,blended_prior_season,0.125,1,0.5661157024793416,1.0413223140495869,0.02185676137077308,0.02037579237519349,-142.0,False,0.0,no edge
2026_03_CAR_CLE,2026,3,CLE,CAR,True,0.4386255912501796,0.31245412014504936,0.5704886507597713,0.3726621772884845,0.5102805936163362,True,blended_prior_season,0.125,1,0.43388429752066476,1.0413223140495869,0.004741293729514817,-0.35023699249604867,120.0,False,0.0,no edge
2026_03_CIN_PIT,2026,3,CIN,PIT,False,0.6036123974951476,0.44404417831358156,0.7411061695104451,0.513358642926183,0.6717917048978436,True,blended_prior_season,0.125,1,0.5535891827401113,1.0417578047325513,0.05002321475503635,0.5073269193599765,-135.0,False,0.0,no edge
2026_03_CIN_PIT,2026,3,PIT,CIN,True,0.4214585992021108,0.3037200544193893,0.5485311172349915,0.3608426357430298,0.491408535911351,True,blended_prior_season,0.125,1,0.44641081725989734,1.0417578047325513,-0.024952218057786524,-0.98078597707483,114.0,False,0.0,no edge
2026_03_HOU_IND,2026,3,HOU,IND,False,0.5913858910574854,0.46606883367553675,0.698417630295654,0.5202835528868974,0.6442029110842933,True,blended_prior_season,0.125,1,0.5535891827401113,1.0417578047325513,0.03779670831737414,0.2944951406303007,-135.0,False,0.0,no edge
2026_03_HOU_IND,2026,3,IND,HOU,True,0.389563891990572,0.27596154235424286,0.5007553487008893,0.3284134305017937,0.4483034605533385,True,blended_prior_season,0.125,1,0.44641081725989734,1.0417578047325513,-0.05684692526932533,-1.663332711401761,114.0,False,0.0,no edge
2026_03_KC_MIA,2026,3,KC,MIA,False,0.6852566412690648,0.5131979730297307,0.8488624809841643,0.5915196915524318,0.7705407624614631,True,blended_prior_season,0.125,1,0.7987987987987988,1.042042042042042,-0.11354215752973396,-1.641375035069648,-455.0,False,0.0,no edge
2026_03_KC_MIA,2026,3,MIA,KC,True,0.2962806291382817,0.13840432553565593,0.46507530019292054,0.21462755295568434,0.38885207277289213,True,blended_prior_season,0.125,1,0.2012012012012011,1.042042042042042,0.09507942793708057,3.3326283112226758,350.0,False,0.0,no edge
2026_03_LAC_BUF,2026,3,BUF,LAC,True,0.5221200338923628,0.4225033968587862,0.6308755135993227,0.4711235574315781,0.5822553530265309,True,blended_prior_season,0.125,1,0.5,1.0,0.022120033892362834,,,False,0.0,no edge
2026_03_LAC_BUF,2026,3,LAC,BUF,False,0.4657652098206079,0.31264906096093936,0.6164345726287994,0.38353234701677336,0.5455512865729654,True,blended_prior_season,0.125,1,0.5,1.0,-0.03423479017939213,,,False,0.0,no edge
2026_03_LA_DEN,2026,3,DEN,LA,True,0.42412683594077877,0.27489431342421067,0.5644484377251545,0.34245694242776425,0.496885808721601,True,blended_prior_season,0.125,1,0.44641081725989734,1.0417578047325513,-0.022283981319118573,-0.9236857108673346,114.0,False,0.0,no edge
2026_03_LA_DEN,2026,3,LA,DEN,False,0.592300664479219,0.4479094881761315,0.7181752915279028,0.5109715089582114,0.6551132707458228,True,blended_prior_season,0.125,1,0.5535891827401113,1.0417578047325513,0.03871148173910777,0.3104189742678862,-135.0,False,0.0,no edge
2026_03_LV_NO,2026,3,LV,NO,False,0.37781308941050057,0.26807131555017827,0.4851357001335216,0.31871967195295836,0.43448734373074144,True,blended_prior_season,0.125,1,0.40270410143615115,1.042049424246345,-0.024891012025650583,-1.0836110899121856,136.0,False,0.0,no edge
2026_03_LV_NO,2026,3,NO,LV,True,0.5817973977063634,0.4188223657646768,0.7269930649327081,0.4907288622372174,0.6550865684601674,True,blended_prior_season,0.125,1,0.5972958985638516,1.042049424246345,-0.015498500857488162,-0.5906840617859741,-162.0,False,0.0,no edge
2026_03_MIN_TB,2026,3,MIN,TB,False,0.45176693392517575,0.28118392130759406,0.6137490183017905,0.3587824439395732,0.5361504956698113,True,blended_prior_season,0.125,1,0.4661246612466195,1.043360433604336,-0.014357727321443747,-0.7387778545338985,105.0,False,0.0,no edge
2026_03_MIN_TB,2026,3,TB,MIN,True,0.5476139573034229,0.3920886527692166,0.6861016578140651,0.4606916872796813,0.6174986233036005,True,blended_prior_season,0.125,1,0.5338753387533938,1.043360433604336,0.013738618550029114,-0.14294876853838812,-125.0,False,0.0,no edge
2026_03_NE_JAX,2026,3,JAX,NE,True,0.6334292271121477,0.4789056078173124,0.7865276581865663,0.550684086236805,0.7147491797670738,True,blended_prior_season,0.125,1,0.5535891827401113,1.0417578047325513,0.0798400443720364,1.0263606201003483,-135.0,False,0.0,no edge
2026_03_NE_JAX,2026,3,NE,JAX,False,0.41595035951345577,0.27174068975513704,0.5613671172626227,0.3393201895068837,0.4937876175108761,True,blended_prior_season,0.125,1,0.44641081725989734,1.0417578047325513,-0.03046045774644157,-1.0986623064120478,114.0,False,0.0,no edge
2026_03_NYJ_DET,2026,3,DET,NYJ,True,0.5016585692884388,0.3512949595117352,0.6357280937426857,0.4176626908322903,0.5693603624221305,True,blended_prior_season,0.125,1,0.5,1.0,0.0016585692884387715,,,False,0.0,no edge
2026_03_NYJ_DET,2026,3,NYJ,DET,False,0.48798026348547074,0.3540328819571578,0.6210692161385452,0.4163413599328149,0.5587607381628882,True,blended_prior_season,0.125,1,0.5,1.0,-0.012019736514529256,,,False,0.0,no edge
