game_id,season,week,team,opponent,is_home,model_prob,ci_lo,ci_hi,market_prob_devig,overround,edge,ev_dollars,team_moneyline,qualifies,stake,confidence_label
2025_11_BAL_CLE,2025,11,BAL,CLE,False,0.6817226713580602,0.5999600983560397,0.7688299812002017,0.7937710437710437,1.042087542087542,-0.11204837241298349,-1.633403578787443,-440,False,0.0,no edge
2025_11_BAL_CLE,2025,11,CLE,BAL,True,0.32181186799235206,0.24280125360695903,0.42185547092779685,0.20622895622895623,1.042087542087542,0.11558291176339583,4.159722191663491,340,True,10.0,strong edge
2025_11_CAR_ATL,2025,11,ATL,CAR,True,0.7035905937357542,0.6528706989052707,0.7556321543452917,0.6641958670260557,1.0426774483378256,0.03939472670969846,0.2633857251362297,-218,False,0.0,no edge
2025_11_CAR_ATL,2025,11,CAR,ATL,False,0.3157587349926249,0.2641247533989384,0.3987374593251952,0.33580413297394424,1.0426774483378256,-0.020045397981319324,-1.1587554202065027,180,False,0.0,no edge
2025_11_CHI_MIN,2025,11,CHI,MIN,False,0.4107959577868378,0.33646702285626023,0.49441623384488104,0.4248271889400958,1.0432027649769586,-0.014031231153257995,-0.7981705455748322,124,False,0.0,no edge
2025_11_CHI_MIN,2025,11,MIN,CHI,True,0.6352050011236688,0.5654095696416847,0.6985957354741126,0.5751728110599106,1.0432027649769586,0.06003219006375826,0.6439756945047206,-148,False,0.0,no edge
2025_11_CIN_PIT,2025,11,CIN,PIT,False,0.34512654082532085,0.25886409459280874,0.4363632159332353,0.30679156908665106,1.0421545667447307,0.03833497173866979,0.5263594951722856,205,False,0.0,no edge
2025_11_CIN_PIT,2025,11,PIT,CIN,True,0.6801730979927345,0.6116975228235776,0.7372717782905601,0.6932084309133489,1.0421545667447307,-0.013035332920614429,-0.4775766281017173,-250,False,0.0,no edge
2025_11_DAL_LV,2025,11,DAL,LV,False,0.6766479474902721,0.610428541037428,0.7413002607226682,0.6428208257067318,1.043217408989221,0.033827121783540304,0.18389335111621774,-198,False,0.0,no edge
2025_11_DAL_LV,2025,11,LV,DAL,True,0.3390128981910903,0.2681830639769902,0.40510419304710044,0.35717917429326823,1.043217408989221,-0.018166276102177914,-1.0500594877552167,164,False,0.0,no edge
2025_11_DET_PHI,2025,11,DET,PHI,False,0.40095352043193955,0.3284245666285405,0.4674164718640771,0.4134697357203777,1.0426257459505541,-0.01251621528843816,-0.7780690300653905,130,False,0.0,no edge
2025_11_DET_PHI,2025,11,PHI,DET,True,0.6182595588546334,0.5414629362683845,0.6880572171560259,0.5865302642796267,1.0426257459505541,0.03172929457500662,0.17136693599558006,-155,False,0.0,no edge
2025_11_GB_NYG,2025,11,GB,NYG,False,0.7438087239879226,0.6678443467938509,0.7995697533791262,0.7937710437710437,1.042087542087542,-0.049962319783121045,-0.8714383874209495,-440,False,0.0,no edge
2025_11_GB_NYG,2025,11,NYG,GB,True,0.22886637240950491,0.17260856302540023,0.3043810329085184,0.20622895622895623,1.042087542087542,0.02263741618054868,0.07012038601821668,340,False,0.0,no edge
2025_11_HOU_TEN,2025,11,HOU,TEN,False,0.6191948466990947,0.5358678607818412,0.7034926784393996,0.7042835398999784,1.0434877147205914,-0.08508869320088364,-1.471467205842658,-265,False,0.0,no edge
2025_11_HOU_TEN,2025,11,TEN,HOU,True,0.33649108763974633,0.2551811888610834,0.41060695648437034,0.2957164601000216,1.0434877147205914,0.04077462753972472,0.5994692606520093,215,False,0.0,no edge
2025_11_KC_DEN,2025,11,DEN,KC,True,0.30492236596391104,0.2422396090183595,0.36806567462785655,0.33580413297394424,1.0426774483378256,-0.0308817670100332,-1.4621737530104904,180,False,0.0,no edge
2025_11_KC_DEN,2025,11,KC,DEN,False,0.6344888922491725,0.5540910135414249,0.6985274350207801,0.6641958670260557,1.0426774483378256,-0.02970697477688322,-0.7446115717781265,-218,False,0.0,no edge
2025_11_LAC_JAX,2025,11,JAX,LAC,True,0.4015116065638138,0.33679198880792555,0.48189707128359127,0.4134697357203777,1.0426257459505541,-0.011958129156563913,-0.7652330490322843,130,False,0.0,no edge
2025_11_LAC_JAX,2025,11,LAC,JAX,False,0.6138633443849772,0.5322865602385772,0.6811615278486759,0.5865302642796267,1.0426257459505541,0.027333080105350516,0.09904211730123791,-155,False,0.0,no edge
2025_11_NYJ_NE,2025,11,NE,NYJ,True,0.8200784825152919,0.7370642796452879,0.8714118707787283,0.8834154351395874,1.0426929392446633,-0.0633369526242955,-0.9359746669362482,-950,False,0.0,no edge
2025_11_NYJ_NE,2025,11,NYJ,NE,False,0.19478340643806225,0.1362802912452494,0.2554713778665877,0.11658456486051967,1.0426929392446633,0.07819884157754257,4.121796966759513,625,True,10.0,moderate edge
2025_11_SEA_LA,2025,11,LA,SEA,True,0.5790012096623924,0.5087771877787975,0.6615688508549958,0.6141001855287574,1.0445269016697587,-0.03509897586636501,-0.9014095624481198,-175,False,0.0,no edge
2025_11_SEA_LA,2025,11,SEA,LA,False,0.43642459408843104,0.36427249066350365,0.5182344422537624,0.38589981447124394,1.0445269016697587,0.0505247796171871,0.6924025551665611,145,False,0.0,no edge
2025_11_SF_ARI,2025,11,ARI,SF,True,0.39093088880677507,0.3268054940967093,0.4703667778901317,0.36354056902002124,1.042149631190727,0.027390319786753825,0.1642031089761513,160,False,0.0,no edge
2025_11_SF_ARI,2025,11,SF,ARI,False,0.6552880119780284,0.5858402565654104,0.7158685411309439,0.636459430979979,1.042149631190727,0.018828580998049405,-0.034161484500816464,-192,False,0.0,no edge
2025_11_TB_BUF,2025,11,BUF,TB,True,0.7607373596078699,0.7086028235733057,0.8133269024038159,0.7186147186147186,1.0432900432900434,0.04212264099315133,0.2766274894396461,-285,False,0.0,no edge
2025_11_TB_BUF,2025,11,TB,BUF,False,0.23864615690324684,0.1872334253253933,0.3093590881686651,0.2813852813852814,1.0432900432900434,-0.04273912448203457,-2.1246768221928543,230,False,0.0,no edge
2025_11_WAS_MIA,2025,11,MIA,WAS,True,0.5673357376566007,0.47094370843579764,0.6559598891031403,0.5751728110599106,1.0432027649769586,-0.007837073403309858,-0.4932930446731776,-148,False,0.0,no edge
2025_11_WAS_MIA,2025,11,WAS,MIA,False,0.4601114121770854,0.3611011593869377,0.5663457722448154,0.4248271889400958,1.0432027649769586,0.0352842232369896,0.30649563276671365,124,False,0.0,no edge
