model,auc,accuracy,brier,log_loss,ece,vs_benchmark
single-fit simple average,0.7060429460383164,0.6549815498154982,0.2172638913285542,0.6226221094063147,0.0638600133492949,-0.012657053961683595
BAGGED (block bootstrap),0.7028703312863387,0.6494464944649446,0.21827492246967234,0.6248294542957739,0.07250525739793359,-0.015829668713661316
MARKET (moneyline implied),0.7200405767895317,0.6531365313653137,0.2128194582672059,0.6105850384640037,0.03920463044740554,0.0013405767895317
