B,mean_ci_width,median_ci_width,pct_change_vs_prev
50,0.1432406983561,0.14116002976685263,
100,0.1502393099364724,0.14818746058698895,4.885909982771541
200,0.15356506652651583,0.15241470297383913,2.2136394206347942
300,0.15562109656463008,0.15433102403119264,1.3388657229274514
400,0.1558719282540143,0.15488558586180418,0.16118103195605915
500,0.15630644089482626,0.15457334218626134,0.27876260060366587
